id_transacao,data,funcionario,cargo,descricao,valor,categoria,departamento
TX_1000,2008-04-01,Pam Beesly,Recepcionista,Compra de Café e Açúcar,25.5,Copa e Cozinha,Administrativo
TX_1001,2008-04-01,Angela Martin,Contadora,Papelaria Staples (Canetas/Grampos),42.0,Material de Escritório,Contabilidade
TX_1002,2008-04-01,Andy Bernard,Vendedor,Papelaria Local - Despesa de Material de Escritório,82.84,Material de Escritório,Vendas
TX_1003,2008-04-01,Darryl Philbin,Chefe de Depósito,Água Crystal - Despesa de Copa e Cozinha,37.59,Copa e Cozinha,Depósito
TX_1004,2008-04-01,Meredith Palmer,Rel. Fornecedores,Dunder Mifflin Warehouse - Despesa de Logística,13.26,Logística,Suprimentos
TX_1005,2008-04-01,Kevin Malone,Contador,Água Crystal - Despesa de Copa e Cozinha,8.01,Copa e Cozinha,Contabilidade
TX_1006,2008-04-01,Michael Scott,Gerente Regional,Cugino's - Despesa de Refeição com Cliente,205.4,Refeição com Cliente,Gerência
TX_1007,2008-04-01,Dwight Schrute,Vendedor,Amtrak Train - Despesa de Viagem,20.78,Viagem,Vendas
TX_1008,2008-04-01,Toby Flenderson,RH,Manutenção de Copiadora - Despesa de Manutenção,19.08,Manutenção,Recursos Humanos
TX_1009,2008-04-01,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,40.03,Correios,Administrativo
TX_1010,2008-04-01,Michael Scott,Gerente Regional,Dunkin Donuts - Despesa de Refeição,179.05,Refeição,Gerência
TX_1011,2008-04-01,Andy Bernard,Vendedor,Estacionamento Central - Despesa de Transporte Local,129.13,Transporte Local,Vendas
TX_1012,2008-04-01,Dwight Schrute,Vendedor,Estacionamento Central - Despesa de Transporte Local,39.98,Transporte Local,Vendas
TX_1013,2008-04-01,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,134.25,Refeição com Cliente,Vendas
TX_1014,2008-04-01,Toby Flenderson,RH,Vending Machine - Despesa de Diversos,12.9,Diversos,Recursos Humanos
TX_1015,2008-04-01,Andy Bernard,Vendedor,Dunkin Donuts - Despesa de Refeição,128.43,Refeição,Vendas
TX_1016,2008-04-01,Stanley Hudson,Vendedor,Chili's - Despesa de Refeição com Cliente,152.59,Refeição com Cliente,Vendas
TX_1017,2008-04-01,Angela Martin,Contadora,FedEx - Despesa de Correios,19.64,Correios,Contabilidade
TX_1018,2008-04-01,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,14.52,Correios,Administrativo
TX_1019,2008-04-01,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,78.62,Manutenção,Contabilidade
TX_1020,2008-04-01,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,81.94,Refeição,Vendas
TX_1021,2008-04-01,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,13.78,Copa e Cozinha,Administrativo
